gene,id,tpm,log2tpm,SampleID,sample_type_code,sample_type,project,tumor_type,median_log2tpm,n,tumor_type_n
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-A463-01A-11R-A266-07,34.7246,5.1183015783897,TCGA-CV-A463,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7102-01A-11R-2016-07,106.8945,6.74017877240323,TCGA-CV-7102,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BA-A6DL-01A-21R-A30B-07,261.7413,8.03205289216059,TCGA-BA-A6DL,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CR-6471-01A-11R-1873-07,26.8117,4.74532877522608,TCGA-CR-6471,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CQ-A4CE-01A-11R-A266-07,50.4843,5.65804863471499,TCGA-CQ-A4CE,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CQ-5333-01A-01R-2403-07,7.9954,3.00097349063646,TCGA-CQ-5333,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-DQ-7592-01A-11R-2081-07,215.7952,7.75358581791775,TCGA-DQ-7592,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-UF-A71E-01A-31R-A34R-07,93.5769,6.54823469491285,TCGA-UF-A71E,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-D6-A6EM-01A-21R-A31N-07,26.3237,4.71883833547489,TCGA-D6-A6EM,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7416-01A-11R-2081-07,264.9344,8.04954582393986,TCGA-CV-7416,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-4737-01A-01R-1436-07,148.7014,7.21637143631138,TCGA-CN-4737,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-IQ-A6SH-01A-12R-A34R-07,185.3327,7.53405148334453,TCGA-IQ-A6SH,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-6938-01A-11R-1915-07,85.1421,6.41197020461769,TCGA-CV-6938,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CR-7401-01A-11R-2016-07,101.6081,6.66701358454746,TCGA-CR-7401,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-D6-A6EP-01A-11R-A31N-07,7.2651,2.8629670787443,TCGA-D6-A6EP,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-UF-A71B-01A-12R-A34R-07,120.641,6.9146960629667,TCGA-UF-A71B,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CR-7402-01A-11R-2016-07,32.9966,5.04468262951658,TCGA-CR-7402,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-IQ-A61O-01A-11R-A30B-07,81.8243,6.35463375551169,TCGA-IQ-A61O,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-IQ-7630-01A-11R-2081-07,149.2145,7.22134060959542,TCGA-IQ-7630,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CQ-A4CB-01A-11R-A24Z-07,83.8453,6.38983006582157,TCGA-CQ-A4CB,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-MT-A67F-01A-11R-A30B-07,176.252,7.46157766998778,TCGA-MT-A67F,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-HD-7832-01A-11R-2132-07,100.111,6.64560079550046,TCGA-HD-7832,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-QK-A8Z7-01A-11R-A39I-07,45.4407,5.50623060886124,TCGA-QK-A8Z7,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BA-4075-01A-01R-1436-07,265.5059,8.05265444690324,TCGA-BA-4075,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-4740-01A-01R-1436-07,14.8487,3.89323599369823,TCGA-CN-4740,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-H7-8502-01A-11R-2403-07,146.7542,7.19735628614914,TCGA-H7-8502,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-5966-01A-11R-1686-07,76.1575,6.2511036386602,TCGA-CV-5966,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BA-5151-01A-01R-1436-07,62.7006,5.97063741789723,TCGA-BA-5151,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7410-01A-21R-2081-07,40.3166,5.33365986983734,TCGA-CV-7410,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
