tumor_type,CNV,n,total,amplification_n,gain_n,amp_total,amp_total_ratio,rate,tumor_type_n
TGCT,Amplification,7,133,7,123,130,0.977443609022556,0.0526315789473684,TGCT (n=133)
TGCT,Gain,123,133,7,123,130,0.977443609022556,0.924812030075188,TGCT (n=133)
TGCT,Diploid,3,133,7,123,130,0.977443609022556,0.0225563909774436,TGCT (n=133)
TGCT,Heterozygous deletion,0,133,7,123,130,0.977443609022556,0,TGCT (n=133)
TGCT,Homozygous deletion,0,133,7,123,130,0.977443609022556,0,TGCT (n=133)
ACC,Amplification,0,89,0,64,64,0.719101123595506,0,ACC (n=89)
ACC,Gain,64,89,0,64,64,0.719101123595506,0.719101123595506,ACC (n=89)
ACC,Diploid,24,89,0,64,64,0.719101123595506,0.269662921348315,ACC (n=89)
ACC,Heterozygous deletion,1,89,0,64,64,0.719101123595506,0.0112359550561798,ACC (n=89)
ACC,Homozygous deletion,0,89,0,64,64,0.719101123595506,0,ACC (n=89)
OV,Amplification,34,562,34,255,289,0.51423487544484,0.0604982206405694,OV (n=562)
OV,Gain,255,562,34,255,289,0.51423487544484,0.45373665480427,OV (n=562)
OV,Diploid,230,562,34,255,289,0.51423487544484,0.409252669039146,OV (n=562)
OV,Heterozygous deletion,43,562,34,255,289,0.51423487544484,0.0765124555160142,OV (n=562)
OV,Homozygous deletion,0,562,34,255,289,0.51423487544484,0,OV (n=562)
LUSC,Amplification,16,487,16,221,237,0.486652977412731,0.0328542094455852,LUSC (n=487)
LUSC,Gain,221,487,16,221,237,0.486652977412731,0.453798767967146,LUSC (n=487)
LUSC,Diploid,216,487,16,221,237,0.486652977412731,0.4435318275154,LUSC (n=487)
LUSC,Heterozygous deletion,34,487,16,221,237,0.486652977412731,0.0698151950718686,LUSC (n=487)
LUSC,Homozygous deletion,0,487,16,221,237,0.486652977412731,0,LUSC (n=487)
UCS,Amplification,3,56,3,22,25,0.446428571428571,0.0535714285714286,UCS (n=56)
UCS,Gain,22,56,3,22,25,0.446428571428571,0.392857142857143,UCS (n=56)
UCS,Diploid,20,56,3,22,25,0.446428571428571,0.357142857142857,UCS (n=56)
UCS,Heterozygous deletion,11,56,3,22,25,0.446428571428571,0.196428571428571,UCS (n=56)
UCS,Homozygous deletion,0,56,3,22,25,0.446428571428571,0,UCS (n=56)
ESCA,Amplification,10,182,10,62,72,0.395604395604396,0.0549450549450549,ESCA (n=182)
ESCA,Gain,62,182,10,62,72,0.395604395604396,0.340659340659341,ESCA (n=182)
ESCA,Diploid,80,182,10,62,72,0.395604395604396,0.43956043956044,ESCA (n=182)
ESCA,Heterozygous deletion,29,182,10,62,72,0.395604395604396,0.159340659340659,ESCA (n=182)
ESCA,Homozygous deletion,1,182,10,62,72,0.395604395604396,0.00549450549450549,ESCA (n=182)
